0,0
37,0
44,0
48,0
53,0
58,0
61,0
66,0
69,0
72,0
75,0
78,0
82,0
84,0
87,0
90,0
93,0
97,0
100,0
103,0
107,0
113,0
117,0
120,0
122,0
125,0
130,0
132,0
134,0
136,0
138,0
140,0
142,0
148,0
152,0
155,0
157,0
158,0
160,0
162,0
163,0
165,0
167,0
168,0
170,0
172,0
173,0
175,0
177,0
179,0
182,0
185,0
188,0
191,0
194,0
196,0
197,0
198,0
199,0
201,0
202,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
212,0
213,0
214,0
215,0
219,0
227,0
228,0
229,0
230,0
231,0
240,0
241,0
242,0
243,0
244,0
245,0
247,0
248,0
249,0
250,0
254,0
255,0
259,0
263,0
265,0
266,0
267,0
268,0
275,0
276,0
277,0
279,0
281,0
283,0
286,0
288,0
291,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
302,0
303,0
307,0
309,0
312,0
323,0
326,0
328,0
329,0
330,0
331,0
333,0
335,0
337,0
338,0
339,0
340,0
341,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
351,0
352,0
353,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
369,0
370,0
372,0
373,0
374,0
375,0
376,0
377,0
379,0
380,0
381,0
382,0
383,0
385,0
386,0
387,0
388,0
389,0
390,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
414,0
415,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
489,0
490,0
491,0
492,0
493,0
495,0
496,0
497,0
498,0
499,0
501,0
502,0
503,0
504,0
505,0
506,0
508,0
509,0
510,0
511,0
512,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
522,0
523,0
524,0
525,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
536,0
537,0
538,0
539,0
541,0
542,0
543,0
544,0
545,0
546,0
548,0
549,0
550,0
551,0
552,0
553,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
563,0
564,0
565,0
566,0
567,0
568,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
610,0
611,0
612,0
613,0
614,0
615,0
617,0
618,0
619,0
620,0
621,0
622,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
689,0
690,0
691,0
692,0
693,0
694,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
704,0
705,0
706,0
707,0
708,0
709,0
711,0
712,0
713,0
714,0
715,0
717,0
718,0
719,0
720,0
721,0
722,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
732,0
733,0
734,0
735,0
736,0
738,0
739,0
740,0
741,0
743,0
744,0
745,0
746,0
747,0
748,0
750,0
751,0
752,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
771,0
772,0
773,0
776,0
777,0
780,0
781,0
783,0
785,0
787,0
788,0
789,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
799,0
800,0
801,0
802,0
803,0
804,0
806,0
807,0
808,0
809,0
810,0
812,0
813,0
814,0
815,0
817,0
818,0
819,0
820,0
821,0
823,0
824,0
825,0
826,0
827,0
828,0
830,0
831,0
832,0
833,0
834,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
844,0
845,0
846,0
847,0
848,0
849,0
851,0
852,0
853,0
854,0
855,0
856,0
858,0
859,0
860,0
861,0
862,0
863,0
865,0
866,0
867,0
868,0
869,0
870,0
872,0
873,0
874,0
875,0
876,0
878,0
879,0
880,0
881,0
883,0
884,0
885,0
886,0
888,0
889,0
890,0
891,0
892,0
894,0
895,0
896,0
897,0
898,0
899,0
901,0
902,0
903,0
905,0
906,0
907,0
908,0
909,0
910,0
912,0
913,0
914,0
915,0
916,0
917,0
919,0
920,0
921,0
922,0
924,0
925,0
926,0
927,0
928,0
929,0
931,0
932,0
933,0
934,0
935,0
937,0
938,0
939,0
940,0
942,0
943,0
944,0
945,0
946,0
948,0
949,0
950,0
952,0
953,0
954,0
955,0
956,0
958,0
959,0
960,0
961,0
962,0
964,0
965,0
966,0
967,0
968,0
970,0
971,0
972,0
973,0
974,0
976,0
977,0
978,0
979,0
981,0
982,0
983,0
984,0
985,0
987,0
988,0
989,0
990,0
991,0
992,0
994,0
995,0
996,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1005,0
1006,0
1007,0
1008,0
1009,0
1011,0
1012,0
1013,0
1014,0
1016,0
1017,0
1018,0
1019,0
1020,0
1022,0
1023,0
1024,0
1025,0
1026,0
1028,0
1029,0
1030,0
1031,0
1032,0
1034,0
1035,0
1036,0
1037,0
1039,0
1040,0
1041,0
1042,0
1043,0
1045,0
1046,0
1047,0
1048,0
1049,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1058,0
1059,0
1060,0
1061,0
1062,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1071,0
1072,0
1073,0
1074,0
1075,0
